2026-09-02 21:15:21 | Temperature: 94 C | Vibration: 7 mm/s | Pressure: 91 PSI | Status: WARNING
2026-09-02 21:15:24 | Temperature: 72 C | Vibration: 4 mm/s | Pressure: 117 PSI | Status: CRITICAL
2026-09-02 21:15:27 | Temperature: 65 C | Vibration: 8 mm/s | Pressure: 90 PSI | Status: WARNING
2026-09-02 21:27:28 | Temperature: 71 C | Vibration: 4 mm/s | Pressure: 104 PSI | Status: NORMAL
2026-09-02 21:27:28 | Temperature: 69 C | Vibration: 8 mm/s | Pressure: 89 PSI | Status: WARNING
2026-09-02 21:27:28 | Temperature: 90 C | Vibration: 9 mm/s | Pressure: 95 PSI | Status: WARNING
2026-09-02 21:27:31 | Temperature: 88 C | Vibration: 10 mm/s | Pressure: 97 PSI | Status: CRITICAL
2026-09-02 21:27:31 | Temperature: 60 C | Vibration: 9 mm/s | Pressure: 85 PSI | Status: WARNING
2026-09-02 21:27:31 | Temperature: 61 C | Vibration: 2 mm/s | Pressure: 102 PSI | Status: NORMAL
2026-09-02 21:27:35 | Temperature: 100 C | Vibration: 3 mm/s | Pressure: 106 PSI | Status: WARNING
2026-09-02 21:27:35 | Temperature: 98 C | Vibration: 10 mm/s | Pressure: 117 PSI | Status: CRITICAL
2026-09-02 21:27:35 | Temperature: 66 C | Vibration: 3 mm/s | Pressure: 89 PSI | Status: NORMAL
2026-09-02 21:27:38 | Temperature: 102 C | Vibration: 4 mm/s | Pressure: 83 PSI | Status: CRITICAL
2026-09-02 21:27:38 | Temperature: 81 C | Vibration: 1 mm/s | Pressure: 91 PSI | Status: NORMAL
2026-09-02 21:27:38 | Temperature: 67 C | Vibration: 7 mm/s | Pressure: 82 PSI | Status: NORMAL
2026-09-02 21:27:41 | Temperature: 67 C | Vibration: 5 mm/s | Pressure: 103 PSI | Status: NORMAL
2026-09-02 21:27:41 | Temperature: 97 C | Vibration: 7 mm/s | Pressure: 112 PSI | Status: WARNING
2026-09-02 21:27:41 | Temperature: 95 C | Vibration: 4 mm/s | Pressure: 80 PSI | Status: WARNING
2026-09-02 21:27:44 | Temperature: 108 C | Vibration: 1 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-02 21:27:44 | Temperature: 76 C | Vibration: 3 mm/s | Pressure: 100 PSI | Status: NORMAL
2026-09-02 21:27:44 | Temperature: 60 C | Vibration: 8 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-02 21:27:47 | Temperature: 67 C | Vibration: 9 mm/s | Pressure: 93 PSI | Status: WARNING
2026-09-02 21:27:47 | Temperature: 104 C | Vibration: 6 mm/s | Pressure: 94 PSI | Status: CRITICAL
2026-09-02 21:27:47 | Temperature: 99 C | Vibration: 2 mm/s | Pressure: 96 PSI | Status: WARNING
2026-09-02 21:27:50 | Temperature: 95 C | Vibration: 3 mm/s | Pressure: 106 PSI | Status: WARNING
2026-09-02 21:27:50 | Temperature: 71 C | Vibration: 9 mm/s | Pressure: 83 PSI | Status: WARNING
2026-09-02 21:27:50 | Temperature: 64 C | Vibration: 2 mm/s | Pressure: 108 PSI | Status: NORMAL
2026-09-02 21:27:53 | Temperature: 77 C | Vibration: 10 mm/s | Pressure: 111 PSI | Status: CRITICAL
2026-09-02 21:27:53 | Temperature: 69 C | Vibration: 7 mm/s | Pressure: 111 PSI | Status: WARNING
2026-09-02 21:27:53 | Temperature: 105 C | Vibration: 9 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-02 21:27:56 | Temperature: 87 C | Vibration: 3 mm/s | Pressure: 116 PSI | Status: CRITICAL
2026-09-02 21:27:56 | Temperature: 62 C | Vibration: 8 mm/s | Pressure: 96 PSI | Status: WARNING
2026-09-02 21:27:56 | Temperature: 83 C | Vibration: 4 mm/s | Pressure: 118 PSI | Status: CRITICAL
2026-09-02 21:27:59 | Temperature: 70 C | Vibration: 6 mm/s | Pressure: 96 PSI | Status: NORMAL
2026-09-02 21:27:59 | Temperature: 95 C | Vibration: 6 mm/s | Pressure: 82 PSI | Status: WARNING
2026-09-02 21:27:59 | Temperature: 77 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-02 21:28:02 | Temperature: 89 C | Vibration: 10 mm/s | Pressure: 114 PSI | Status: CRITICAL
2026-09-02 21:28:02 | Temperature: 87 C | Vibration: 2 mm/s | Pressure: 111 PSI | Status: WARNING
2026-09-02 21:28:02 | Temperature: 83 C | Vibration: 9 mm/s | Pressure: 82 PSI | Status: WARNING
2026-09-02 21:28:05 | Temperature: 86 C | Vibration: 7 mm/s | Pressure: 85 PSI | Status: NORMAL
2026-09-02 21:28:05 | Temperature: 104 C | Vibration: 5 mm/s | Pressure: 114 PSI | Status: CRITICAL
2026-09-02 21:28:05 | Temperature: 100 C | Vibration: 9 mm/s | Pressure: 83 PSI | Status: WARNING
2026-09-02 21:28:08 | Temperature: 105 C | Vibration: 4 mm/s | Pressure: 87 PSI | Status: CRITICAL
2026-09-02 21:28:08 | Temperature: 106 C | Vibration: 1 mm/s | Pressure: 107 PSI | Status: CRITICAL
2026-09-02 21:28:08 | Temperature: 68 C | Vibration: 7 mm/s | Pressure: 98 PSI | Status: NORMAL
2026-09-02 21:28:11 | Temperature: 82 C | Vibration: 8 mm/s | Pressure: 95 PSI | Status: WARNING
2026-09-02 21:28:11 | Temperature: 100 C | Vibration: 2 mm/s | Pressure: 110 PSI | Status: WARNING
2026-09-02 21:28:11 | Temperature: 66 C | Vibration: 1 mm/s | Pressure: 102 PSI | Status: NORMAL
2026-09-02 21:28:14 | Temperature: 64 C | Vibration: 1 mm/s | Pressure: 80 PSI | Status: NORMAL
2026-09-02 21:28:15 | Temperature: 64 C | Vibration: 5 mm/s | Pressure: 85 PSI | Status: NORMAL
2026-09-02 21:28:15 | Temperature: 60 C | Vibration: 5 mm/s | Pressure: 107 PSI | Status: NORMAL
2026-09-02 21:28:18 | Temperature: 96 C | Vibration: 8 mm/s | Pressure: 113 PSI | Status: WARNING
2026-09-02 21:28:18 | Temperature: 80 C | Vibration: 7 mm/s | Pressure: 96 PSI | Status: NORMAL
2026-09-02 21:28:18 | Temperature: 81 C | Vibration: 9 mm/s | Pressure: 92 PSI | Status: WARNING
2026-09-02 21:30:30 | Temperature: 104 C | Vibration: 4 mm/s | Pressure: 95 PSI | Status: CRITICAL
2026-09-02 21:30:30 | Temperature: 104 C | Vibration: 6 mm/s | Pressure: 99 PSI | Status: CRITICAL
2026-09-02 21:30:30 | Temperature: 66 C | Vibration: 3 mm/s | Pressure: 110 PSI | Status: NORMAL
2026-09-02 21:30:33 | Temperature: 97 C | Vibration: 9 mm/s | Pressure: 118 PSI | Status: CRITICAL
2026-09-02 21:30:33 | Temperature: 95 C | Vibration: 4 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-02 21:30:33 | Temperature: 73 C | Vibration: 5 mm/s | Pressure: 87 PSI | Status: NORMAL
2026-09-02 21:30:36 | Temperature: 103 C | Vibration: 3 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-02 21:30:36 | Temperature: 91 C | Vibration: 5 mm/s | Pressure: 93 PSI | Status: WARNING
2026-09-02 21:30:36 | Temperature: 106 C | Vibration: 3 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-02 21:30:39 | Temperature: 61 C | Vibration: 5 mm/s | Pressure: 83 PSI | Status: NORMAL
2026-09-02 21:30:39 | Temperature: 60 C | Vibration: 5 mm/s | Pressure: 103 PSI | Status: NORMAL
2026-09-02 21:30:39 | Temperature: 66 C | Vibration: 7 mm/s | Pressure: 109 PSI | Status: NORMAL
2026-09-02 21:30:42 | Temperature: 97 C | Vibration: 7 mm/s | Pressure: 97 PSI | Status: WARNING
2026-09-02 21:30:42 | Temperature: 78 C | Vibration: 9 mm/s | Pressure: 112 PSI | Status: WARNING
2026-09-02 21:30:42 | Temperature: 65 C | Vibration: 5 mm/s | Pressure: 101 PSI | Status: NORMAL
2026-09-02 21:30:45 | Temperature: 100 C | Vibration: 9 mm/s | Pressure: 108 PSI | Status: WARNING
2026-09-02 21:30:45 | Temperature: 104 C | Vibration: 3 mm/s | Pressure: 84 PSI | Status: CRITICAL
2026-09-02 21:30:45 | Temperature: 89 C | Vibration: 6 mm/s | Pressure: 87 PSI | Status: NORMAL
2026-09-02 21:30:48 | Temperature: 77 C | Vibration: 8 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-02 21:30:48 | Temperature: 92 C | Vibration: 3 mm/s | Pressure: 103 PSI | Status: WARNING
2026-09-02 21:30:48 | Temperature: 90 C | Vibration: 9 mm/s | Pressure: 112 PSI | Status: WARNING
2026-09-02 21:30:51 | Temperature: 85 C | Vibration: 8 mm/s | Pressure: 80 PSI | Status: WARNING
2026-09-02 21:30:51 | Temperature: 65 C | Vibration: 2 mm/s | Pressure: 116 PSI | Status: CRITICAL
2026-09-02 21:30:51 | Temperature: 95 C | Vibration: 7 mm/s | Pressure: 82 PSI | Status: WARNING
2026-09-02 21:30:54 | Temperature: 77 C | Vibration: 5 mm/s | Pressure: 112 PSI | Status: WARNING
2026-09-02 21:30:54 | Temperature: 110 C | Vibration: 9 mm/s | Pressure: 98 PSI | Status: CRITICAL
2026-09-02 21:30:54 | Temperature: 80 C | Vibration: 1 mm/s | Pressure: 116 PSI | Status: CRITICAL
2026-09-02 21:30:57 | Temperature: 80 C | Vibration: 5 mm/s | Pressure: 100 PSI | Status: NORMAL
2026-09-02 21:30:57 | Temperature: 85 C | Vibration: 2 mm/s | Pressure: 119 PSI | Status: CRITICAL
2026-09-02 21:30:57 | Temperature: 84 C | Vibration: 5 mm/s | Pressure: 91 PSI | Status: NORMAL
2026-09-02 21:37:49 | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-02 21:37:49 | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-02 21:37:49 | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-02 21:37:52 | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-02 21:37:52 | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-02 21:37:52 | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-02 21:37:55 | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-02 21:37:55 | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-02 21:37:55 | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-02 21:37:59 | Temperature: 95 C | Vibration: 6 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-02 21:37:59 | Temperature: 95 C | Vibration: 6 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-02 21:37:59 | Temperature: 95 C | Vibration: 6 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-02 21:38:02 | Temperature: 85 C | Vibration: 8 mm/s | Pressure: 119 PSI | Status: CRITICAL
2026-09-02 21:38:02 | Temperature: 85 C | Vibration: 8 mm/s | Pressure: 119 PSI | Status: CRITICAL
2026-09-02 21:38:02 | Temperature: 85 C | Vibration: 8 mm/s | Pressure: 119 PSI | Status: CRITICAL
2026-09-02 21:38:05 | Temperature: 92 C | Vibration: 6 mm/s | Pressure: 91 PSI | Status: WARNING
2026-09-02 21:38:05 | Temperature: 92 C | Vibration: 6 mm/s | Pressure: 91 PSI | Status: WARNING
2026-09-02 21:38:05 | Temperature: 92 C | Vibration: 6 mm/s | Pressure: 91 PSI | Status: WARNING
2026-09-02 21:38:08 | Temperature: 93 C | Vibration: 7 mm/s | Pressure: 81 PSI | Status: WARNING
2026-09-02 21:38:08 | Temperature: 93 C | Vibration: 7 mm/s | Pressure: 81 PSI | Status: WARNING
2026-09-02 21:38:08 | Temperature: 93 C | Vibration: 7 mm/s | Pressure: 81 PSI | Status: WARNING
2026-09-02 21:38:11 | Temperature: 78 C | Vibration: 3 mm/s | Pressure: 110 PSI | Status: NORMAL
2026-09-02 21:38:11 | Temperature: 78 C | Vibration: 3 mm/s | Pressure: 110 PSI | Status: NORMAL
2026-09-02 21:38:11 | Temperature: 78 C | Vibration: 3 mm/s | Pressure: 110 PSI | Status: NORMAL
2026-09-02 21:38:14 | Temperature: 97 C | Vibration: 3 mm/s | Pressure: 117 PSI | Status: CRITICAL
2026-09-02 21:38:14 | Temperature: 97 C | Vibration: 3 mm/s | Pressure: 117 PSI | Status: CRITICAL
2026-09-02 21:38:14 | Temperature: 97 C | Vibration: 3 mm/s | Pressure: 117 PSI | Status: CRITICAL
2026-09-02 21:38:17 | Temperature: 110 C | Vibration: 9 mm/s | Pressure: 90 PSI | Status: CRITICAL
2026-09-02 21:38:17 | Temperature: 110 C | Vibration: 9 mm/s | Pressure: 90 PSI | Status: CRITICAL
2026-09-02 21:38:17 | Temperature: 110 C | Vibration: 9 mm/s | Pressure: 90 PSI | Status: CRITICAL
